,Sql,Comp
438,SELECT Summary from PaperID_Summary WHERE PaperID = 'W06-3121' ,SELECT Summary from PaperID_Summary WHERE PaperID = 'W06-3121' 
570,SELECT PaperID FROM PaperID_Title WHERE Title = 'Machine Translation Systems And Computer Dictionaries In The Information Service: Ways Of Their Development And Operation',SELECT PaperID FROM PaperID_Title WHERE Title = 'Learning Transliteration Lexicons From The Web'
567,SELECT PaperID FROM PaperID_Title WHERE Title = 'Structured Ramp Loss Minimization for Machine Translation',SELECT PaperID FROM PaperID_Title WHERE Title = 'Improved Iterative Correction for Distant Spelling Errors'
534,SELECT Title FROM PaperID_Title WHERE PaperID = 'C80-1039',SELECT Title FROM PaperID_Title WHERE PaperID = 'C80-1039'
1617,SELECT ConfID FROM ConfID_Venue_Year WHERE Venue=ATS-MA AND Year=Year;,SELECT ConfID FROM ConfID_Venue_Year WHERE Venue=ATS-MA AND Year=Year;
135,SELECT COUNT(PaperID) FROM PaperID_AuthID WHERE AuthID = 'A-12341',SELECT COUNT(PaperID) FROM PaperID_AuthID WHERE AuthID = 'A-12341'
1302,SELECT PaperID FROM ConfID_PaperID WHERE ConfID='C-68,SELECT PaperID FROM ConfID_PaperID WHERE ConfID='C-68
70,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-7511',SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-7511'
342,SELECT FieldID FROM PaperID_FieldID WHERE PaperID = 'E91-1043',SELECT FieldID FROM PaperID_FieldID WHERE PaperID = 'E91-1043'
289,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'C10-1082' ,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'C10-1082' 
1552,SELECT COUNT(*) FROM ConfID_Venue_Year WHERE Year>2016;,SELECT COUNT(*) FROM ConfID_Venue_Year WHERE Year<2016;
548,SELECT Title FROM PaperID_Title WHERE PaperID = 'W11-1411',SELECT Title FROM PaperID_Title WHERE PaperID = 'W11-1411'
785,SELECT Place From AffiliationID_Place_Affiliation WHERE Affiliate LIKE 'Vivisimo,SELECT Place From AffiliationID_Place_Affiliation WHERE Affiliate LIKE 'Vivisimo
210,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'W97-0314' ,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'W97-0314' 
899,"SELECT AuthID,AffiliationID FROM AuthID_AffiliationID WHERE AuthID == 'A-15061'","SELECT AuthID,AffiliationID FROM AuthID_AffiliationID WHERE AuthID == 'A-15061'"
1178,SELECT COUNT(*) FROM AuthID_Name WHERE Name LIKE '%Sun%';,SELECT COUNT(*) FROM AuthID_Name WHERE Name LIKE '%Mc%';
1286,SELECT ConfID FROM ConfID_PaperID WHERE PaperID='W09-1214';,SELECT ConfID FROM ConfID_PaperID WHERE PaperID='W09-1214';
185,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'W03-2809' ,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'W03-2809' 
49,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-17743',SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-17743'
1475,SELECT COUNT(*) FROM ConfID_Venue_Year WHERE Venue=Workshop On TIPSTER Text Program;,SELECT COUNT(*) FROM ConfID_Venue_Year WHERE Venue=Workshop On Information Extraction Beyond The Document;
566,SELECT PaperID FROM PaperID_Title WHERE Title = 'Prediction of Maximal Projection for Semantic Role Labeling',SELECT PaperID FROM PaperID_Title WHERE Title = 'Learning Linear Precedence Rules'
1225,SELECT COUNT(*) FROM ConfID_PaperID WHERE ConfID='C-628' ;,SELECT COUNT(*) FROM ConfID_PaperID WHERE ConfID='C-628' ;
973,SELECT Name FROM AuthID_Name WHERE AuthID='A-2651';,SELECT Name FROM AuthID_Name WHERE AuthID='A-2651';
1299,SELECT PaperID FROM ConfID_PaperID WHERE ConfID='C-576,SELECT PaperID FROM ConfID_PaperID WHERE ConfID='C-576
168,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'W00-1402' ,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'W00-1402' 
1640,SELECT PaperID FROM KeywordID_PaperID WHERE KeywordID=K-2178;,SELECT PaperID FROM KeywordID_PaperID WHERE KeywordID=K-2178;
99,SELECT COUNT(PaperID) FROM PaperID_AuthID WHERE AuthID = 'A-11557',SELECT COUNT(PaperID) FROM PaperID_AuthID WHERE AuthID = 'A-11557'
240,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'P82-1005' ,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'P82-1005' 
1026,SELECT Name FROM AuthID_Name WHERE AuthID='A-16141';,SELECT Name FROM AuthID_Name WHERE AuthID='A-16141';
1538,SELECT Venue FROM ConfID_Venue_Year WHERE ConfID=C-239;,SELECT Venue FROM ConfID_Venue_Year WHERE ConfID=C-239;
203,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'W08-0311' ,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'W08-0311' 
1240,SELECT COUNT(*) FROM ConfID_PaperID WHERE ConfID='C-597' ;,SELECT COUNT(*) FROM ConfID_PaperID WHERE ConfID='C-597' ;
1449,SELECT COUNT(*) FROM ConfID_Venue_Year WHERE Venue=Proceedings of the NAACL NAACL Workshop on Extracting and Using Constructions in Computational Linguistics;,SELECT COUNT(*) FROM ConfID_Venue_Year WHERE Venue=Proceedings of the NAACL HLT 2009 Workshop on Semi-supervised Learning for Natural Language Processing;
1355,SELECT COUNT(*) FROM ConfID_PaperID WHERE PaperID LIKE 'D14%' ;,SELECT COUNT(*) FROM ConfID_PaperID WHERE PaperID LIKE 'D14-%' ;
677,SELECT Count(Affiliate) FROM AffiliationID_Place_Affiliation WHERE Place LIKE '%Nagasaki Japan%,SELECT Count(Affiliate) FROM AffiliationID_Place_Affiliation WHERE Place LIKE '%Hanoi Vietnam%
1272,SELECT ConfID FROM ConfID_PaperID WHERE PaperID='W06-3813';,SELECT ConfID FROM ConfID_PaperID WHERE PaperID='W06-3813';
275,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'H05-1082' ,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'H05-1082' 
1164,SELECT COUNT(*) FROM AuthID_Name WHERE Name LIKE 'Ku%';,SELECT COUNT(*) FROM AuthID_Name WHERE Name LIKE 'Han%';
23,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-17068',SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-17068'
1523,SELECT Venue FROM ConfID_Venue_Year WHERE ConfID=C-453;,SELECT Venue FROM ConfID_Venue_Year WHERE ConfID=C-453;
611,SELECT PaperID FROM PaperID_Title WHERE Title LIKE 'A Hedgehop over a%',SELECT PaperID FROM PaperID_Title WHERE Title LIKE 'A Software Environment For Developing Nat%'
1358,SELECT COUNT(*) FROM ConfID_FieldID WHERE ConfID LIKE 'C-5%' ;,SELECT COUNT(*) FROM ConfID_PaperID WHERE PaperID LIKE 'A%' ;
506,SELECT Summary from PaperID_Summary WHERE PaperID = 'N04-1022' ,SELECT Summary from PaperID_Summary WHERE PaperID = 'N04-1022' 
331,SELECT FieldID FROM PaperID_FieldID WHERE PaperID = 'W08-1123',SELECT FieldID FROM PaperID_FieldID WHERE PaperID = 'W08-1123'
1338,SELECT PaperID FROM ConfID_PaperID WHERE ConfID='C-180,SELECT PaperID FROM ConfID_PaperID WHERE ConfID='C-180
411,SELECT COUNT(FieldID) FROM PaperID_FieldID WHERE PaperID = 'C10-1116',SELECT COUNT(FieldID) FROM PaperID_FieldID WHERE PaperID = 'C10-1116'
1466,SELECT COUNT(*) FROM ConfID_Venue_Year WHERE Venue=CAtoCL;,SELECT COUNT(*) FROM ConfID_Venue_Year WHERE Venue=CAtoCL;
414,SELECT COUNT(FieldID) FROM PaperID_FieldID WHERE PaperID = 'D09-1129',SELECT COUNT(FieldID) FROM PaperID_FieldID WHERE PaperID = 'D09-1129'
1160,"SELECT COUNT(*) FROM AuthID_Name WHERE Name LIKE 'Wubben,%';","SELECT COUNT(*) FROM AuthID_Name WHERE Name LIKE 'Schmauks,%';"
1422,SELECT FieldID FROM ConfID_FieldID WHERE ConfID='C-119' ;,SELECT FieldID FROM ConfID_FieldID WHERE ConfID='C-119' ;
915,"SELECT AuthID,AffiliationID FROM AuthID_AffiliationID WHERE AuthID == 'A-5372'","SELECT AuthID,AffiliationID FROM AuthID_AffiliationID WHERE AuthID == 'A-5372'"
453,SELECT Summary from PaperID_Summary WHERE PaperID = 'D10-1062' ,SELECT Summary from PaperID_Summary WHERE PaperID = 'D10-1062' 
1179,SELECT COUNT(*) FROM AuthID_Name WHERE Name LIKE '%Leib%';,SELECT COUNT(*) FROM AuthID_Name WHERE Name LIKE '%Lonn%';
757,"SELECT Affiliate,Place FROM AffiliationID_Place_Affiliation WHERE AffiliationID == 'AF-1784'","SELECT Affiliate,Place FROM AffiliationID_Place_Affiliation WHERE AffiliationID == 'AF-1784'"
316,SELECT FieldID FROM PaperID_FieldID WHERE PaperID = 'C82-1025',SELECT FieldID FROM PaperID_FieldID WHERE PaperID = 'C82-1025'
694,SELECT Count(Affiliate) FROM AffiliationID_Place_Affiliation WHERE Place LIKE '%Louveciennes France%,SELECT Count(Affiliate) FROM AffiliationID_Place_Affiliation WHERE Place LIKE '%Grenoble France%
65,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-290',SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-290'
621,SELECT PaperID FROM PaperID_Title WHERE Title LIKE 'Re%',SELECT PaperID FROM PaperID_Title WHERE Title LIKE 'T%'
29,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-9564',SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-9564'
544,SELECT Title FROM PaperID_Title WHERE PaperID = 'E09-2006',SELECT Title FROM PaperID_Title WHERE PaperID = 'E09-2006'
1172,"SELECT COUNT(*) FROM AuthID_Name WHERE Name LIKE '%Jacquemin, %';","SELECT COUNT(*) FROM AuthID_Name WHERE Name LIKE 'Vauzeilles, Jacqueli%';"
1556,SELECT COUNT(*) FROM ConfID_Venue_Year WHERE Year>2002;,SELECT COUNT(*) FROM ConfID_Venue_Year WHERE Year<2002;
1384,SELECT ConfID FROM ConfID_FieldID WHERE FieldID='F-1' ;,SELECT ConfID FROM ConfID_FieldID WHERE FieldID='F-1' ;
1351,SELECT COUNT(*) FROM ConfID_PaperID WHERE PaperID LIKE 'W11%' ;,SELECT COUNT(*) FROM ConfID_PaperID WHERE PaperID LIKE 'W14%' ;
1043,"SELECT AuthID FROM AuthID_Name WHERE Name='McCarthy, Joseph';","SELECT AuthID FROM AuthID_Name WHERE Name='Harris, Larry R';"
30,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-11004',SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-11004'
1202,SELECT COUNT(*) FROM AuthID_Name WHERE Name LIKE '%Yega%';,SELECT COUNT(*) FROM AuthID_Name WHERE Name LIKE '%Nag%';
1067,SELECT AuthID FROM AuthID_Name WHERE Name='Mitte';,SELECT AuthID FROM AuthID_Name WHERE Name='Centelles';
772,"SELECT Affiliate,Place FROM AffiliationID_Place_Affiliation WHERE AffiliationID == 'AF-507'","SELECT Affiliate,Place FROM AffiliationID_Place_Affiliation WHERE AffiliationID == 'AF-507'"
1142,SELECT COUNT(*) FROM AuthID_Name WHERE Name LIKE 'Moon%';,SELECT COUNT(*) FROM AuthID_Name WHERE Name LIKE 'My%';
426,SELECT COUNT(FieldID) FROM PaperID_FieldID WHERE PaperID = 'N10-1146',SELECT COUNT(FieldID) FROM PaperID_FieldID WHERE PaperID = 'N10-1146'
1491,SELECT COUNT(*) FROM ConfID_Venue_Year WHERE Year=1996;,SELECT COUNT(*) FROM ConfID_Venue_Year WHERE Year=1997;
526,SELECT Title FROM PaperID_Title WHERE PaperID = 'H89-2046',SELECT Title FROM PaperID_Title WHERE PaperID = 'H89-2046'
332,SELECT FieldID FROM PaperID_FieldID WHERE PaperID = 'L08-1052',SELECT FieldID FROM PaperID_FieldID WHERE PaperID = 'L08-1052'
344,SELECT FieldID FROM PaperID_FieldID WHERE PaperID = 'W04-2117',SELECT FieldID FROM PaperID_FieldID WHERE PaperID = 'W04-2117'
596,SELECT PaperID FROM PaperID_Title WHERE Title = 'A Differential LSI Method For Document Classification',SELECT PaperID FROM PaperID_Title WHERE Title = 'Learning IE Rules For A Set Of Related Concepts'
1598,SELECT ConfID FROM ConfID_Venue_Year WHERE Venue=Proceedings of the Parsing 2009 Workshop on Computational Linguistic Aspects of Grammatical Inference AND Year=Year;,SELECT ConfID FROM ConfID_Venue_Year WHERE Venue=Proceedings of the Workshop on Parsing German AND Year=Year;
413,SELECT COUNT(FieldID) FROM PaperID_FieldID WHERE PaperID = 'P04-2004',SELECT COUNT(FieldID) FROM PaperID_FieldID WHERE PaperID = 'P04-2004'
1235,SELECT COUNT(*) FROM ConfID_PaperID WHERE ConfID='C-487' ;,SELECT COUNT(*) FROM ConfID_PaperID WHERE ConfID='C-487' ;
1244,SELECT COUNT(*) FROM ConfID_PaperID WHERE ConfID='C-498' ;,SELECT COUNT(*) FROM ConfID_PaperID WHERE ConfID='C-498' ;
514,SELECT Summary from PaperID_Summary WHERE PaperID = 'D14-1121' ,SELECT Summary from PaperID_Summary WHERE PaperID = 'D14-1121' 
115,SELECT COUNT(PaperID) FROM PaperID_AuthID WHERE AuthID = 'A-3650',SELECT COUNT(PaperID) FROM PaperID_AuthID WHERE AuthID = 'A-3650'
1177,SELECT COUNT(*) FROM AuthID_Name WHERE Name LIKE '%Audhk%';,"SELECT COUNT(*) FROM AuthID_Name WHERE Name LIKE '%Roseacuten, Vict%';"
1094,SELECT AuthID FROM AuthID_Name WHERE Name='Gr';,SELECT AuthID FROM AuthID_Name WHERE Name='So';
806,SELECT Place From AffiliationID_Place_Affiliation WHERE Affiliate LIKE 'University of Chicago,SELECT Place From AffiliationID_Place_Affiliation WHERE Affiliate LIKE 'University of Neuchatel
1296,SELECT ConfID FROM ConfID_PaperID WHERE PaperID='W14-3108';,SELECT ConfID FROM ConfID_PaperID WHERE PaperID='W14-3108';
32,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-16211',SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-16211'
1023,SELECT Name FROM AuthID_Name WHERE AuthID='A-655';,SELECT Name FROM AuthID_Name WHERE AuthID='A-655';
1346,SELECT COUNT(*) FROM ConfID_PaperID WHERE PaperID LIKE 'W0%' ;,SELECT COUNT(*) FROM ConfID_PaperID WHERE PaperID LIKE 'W9%' ;
1483,SELECT COUNT(*) FROM ConfID_Venue_Year WHERE Year=1965;,SELECT COUNT(*) FROM ConfID_Venue_Year WHERE Year=1969;
1333,SELECT PaperID FROM ConfID_PaperID WHERE ConfID='C-493,SELECT PaperID FROM ConfID_PaperID WHERE ConfID='C-493
575,SELECT PaperID FROM PaperID_Title WHERE Title = 'Unsupervised Learning Of Morphology Without Morphemes',SELECT PaperID FROM PaperID_Title WHERE Title = 'An Unsupervised Learning Method For Associative Relationships Between Verb Phrases'
1649,SELECT PaperID FROM KeywordID_PaperID WHERE KeywordID=K-984;,SELECT PaperID FROM KeywordID_PaperID WHERE KeywordID=K-984;
366,SELECT FieldID FROM PaperID_FieldID WHERE PaperID = 'C82-1064',SELECT FieldID FROM PaperID_FieldID WHERE PaperID = 'C82-1064'
1660,SELECT PaperID FROM KeywordID_PaperID WHERE KeywordID=K-4171;,SELECT PaperID FROM KeywordID_PaperID WHERE KeywordID=K-4171;
251,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'N09-1035' ,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'N09-1035' 
244,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'N09-2018' ,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'N09-2018' 
1088,SELECT AuthID FROM AuthID_Name WHERE Name='Yasuha';,"SELECT AuthID FROM AuthID_Name WHERE Name='Izumida,';"
1433,SELECT COUNT(*) FROM ConfID_FieldID WHERE ConfID LIKE 'C%' ;,SELECT COUNT(*) FROM ConfID_FieldID WHERE ConfID LIKE 'C-%' ;
782,SELECT Place From AffiliationID_Place_Affiliation WHERE Affiliate LIKE 'Beijing Normal University,SELECT Place From AffiliationID_Place_Affiliation WHERE Affiliate LIKE 'University of Tsukuba
857,SELECT Count(AuthID) FROM AuthID_AffiliationID WHERE AffiliationID == 'AF-258',SELECT Count(AuthID) FROM AuthID_AffiliationID WHERE AffiliationID == 'AF-258'
1365,SELECT COUNT(*) FROM ConfID_PaperID WHERE PaperID LIKE 'D13-1%' ;,SELECT COUNT(*) FROM ConfID_PaperID WHERE PaperID LIKE 'D14-1%' ;
1273,SELECT ConfID FROM ConfID_PaperID WHERE PaperID='D09-1048';,SELECT ConfID FROM ConfID_PaperID WHERE PaperID='D09-1048';
59,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-15162',SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-15162'
626,SELECT PaperID FROM PaperID_Title WHERE Title LIKE 'Distrib%',SELECT PaperID FROM PaperID_Title WHERE Title LIKE 'Sublanguag%'
69,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-5769',SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-5769'
220,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'P12-3007' ,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'P12-3007' 
1313,SELECT PaperID FROM ConfID_PaperID WHERE ConfID='C-392,SELECT PaperID FROM ConfID_PaperID WHERE ConfID='C-392
926,SELECT AuthID FROM AuthID_FieldID WHERE FieldID == 'F-1',SELECT AuthID FROM AuthID_FieldID WHERE FieldID == 'F-1'
607,SELECT PaperID FROM PaperID_Title WHERE Title LIKE 'Using Clustering to Improve Retrieval Evaluation without Re%',SELECT PaperID FROM PaperID_Title WHERE Title LIKE 'Multi-Relational Latent Semantic %'
1634,SELECT Topic FROM FieldID_Topic WHERE FieldID=F-2;,SELECT Topic FROM FieldID_Topic WHERE FieldID=F-2;
1347,SELECT COUNT(*) FROM ConfID_PaperID WHERE PaperID LIKE 'W07-1%' ;,SELECT COUNT(*) FROM ConfID_PaperID WHERE PaperID LIKE 'H05-1%' ;
777,"SELECT Affiliate,Place FROM AffiliationID_Place_Affiliation WHERE AffiliationID == 'AF-76'","SELECT Affiliate,Place FROM AffiliationID_Place_Affiliation WHERE AffiliationID == 'AF-76'"
1217,SELECT COUNT(*) FROM ConfID_PaperID WHERE ConfID='C-66' ;,SELECT COUNT(*) FROM ConfID_PaperID WHERE ConfID='C-66' ;
1220,SELECT COUNT(*) FROM ConfID_PaperID WHERE ConfID='C-442' ;,SELECT COUNT(*) FROM ConfID_PaperID WHERE ConfID='C-442' ;
471,SELECT Summary from PaperID_Summary WHERE PaperID = 'P07-1071' ,SELECT Summary from PaperID_Summary WHERE PaperID = 'P07-1071' 
