Question,SQL
Venues of the conferences where paper with title $Title$ was Published,SELECT ConfID_Venue_Year.ConfID FROM ConfID_Venue_Year JOIN ConfID_PaperID ON ConfID_Venue_Year.ConfID = ConfID_PaperID.ConfID JOIN PaperID_Title ON ConfID_PaperID.PaperID=PaperID_Title.PaperID Where PaperID_Title.Title LIKE '$Title$' 
List all the years in which conferences on field $Topic$ were held.,SELECT ConfID_Venue_Year.Year FROM ConfID_Venue_Year JOIN ConfID_FieldID ON ConfID_Venue_Year.ConfID = ConfID_FieldID.ConfID JOIN FieldID_Topic ON ConfID_FieldID.FieldID=FieldID_Topic.FieldID Where FieldID_Topic.Topic Like $Topic$
No of years in which conferneces on field $Topic$ were held.,SELECT COUNT (*) FROM ConfID_Venue_Year JOIN ConfID_FieldID ON ConfID_Venue_Year.ConfID = ConfID_FieldID.ConfID JOIN FieldID_Topic ON ConfID_FieldID.FieldID=FieldID_Topic.FieldID Where FieldID_Topic.Topic Like '$Topic'
list all the papers published in conference with ConfID $ConfID$,SELECT PaperID_Title.PaperID FROM PaperID_Title JOIN ConfID_PaperID ON ConfID_PaperID.PaperID=PaperID_Title.PaperID JOIN ConfID_Venue_Year ON ConfID_Venue_Year.ConfID = ConfID_PaperID.ConfID WHERE ConfID_Venue_Year.ConfID LIKE '$ConfID$' 
No of papers published in conference  with ConfID $ConfID$,SELECT COUNT(*) FROM PaperID_Title JOIN ConfID_PaperID ON ConfID_PaperID.PaperID=PaperID_Title.PaperID JOIN ConfID_Venue_Year ON ConfID_Venue_Year.ConfID = ConfID_PaperID.ConfID WHERE ConfID_Venue_Year.ConfID LIKE '%C-14%' 
list all the papers published in conferences at venue $Venue$,SELECT PaperID_Title.PaperID FROM PaperID_Title JOIN ConfID_PaperID ON ConfID_PaperID.PaperID=PaperID_Title.PaperID JOIN ConfID_Venue_Year ON ConfID_Venue_Year.ConfID = ConfID_PaperID.ConfID WHERE ConfID_Venue_Year.Venue LIKE '$Venue$' 
Count papers published in conferences at venue $Venue$,SELECT COUNT(*) FROM PaperID_Title JOIN ConfID_PaperID ON ConfID_PaperID.PaperID=PaperID_Title.PaperID JOIN ConfID_Venue_Year ON ConfID_Venue_Year.ConfID = ConfID_PaperID.ConfID WHERE ConfID_Venue_Year.Venue LIKE '%E$Venue$%'
Field corresponding to conference $ConfID$,SELECT FieldID_Topic.Topic FROM FieldID_Topic JOIN ConfID_FieldID ON ConfID_FieldID.FieldID = FieldID_Topic.FieldID WHERE ConfID = '$ConfID$' 
List all the papers released in year $Year$,SELECT PaperID_Title.PaperID FROM PaperID_Title JOIN ConfID_PaperID ON ConfID_PaperID.PaperID=PaperID_Title.PaperID JOIN ConfID_Venue_Year ON ConfID_Venue_Year.ConfID = ConfID_PaperID.ConfID WHERE ConfID_Venue_Year.Year = '$Year$' 
No of papers released in year $Year$,SELECT COUNT(*) FROM PaperID_Title JOIN ConfID_PaperID ON ConfID_PaperID.PaperID=PaperID_Title.PaperID JOIN ConfID_Venue_Year ON ConfID_Venue_Year.ConfID = ConfID_PaperID.ConfID WHERE ConfID_Venue_Year.Year = '$Year$' 
list all the papers published in conferences at venue $Venue$ in year $Year$,SELECT PaperID_Title.PaperID FROM PaperID_Title JOIN ConfID_PaperID ON ConfID_PaperID.PaperID=PaperID_Title.PaperID JOIN ConfID_Venue_Year ON ConfID_Venue_Year.ConfID = ConfID_PaperID.ConfID WHERE ConfID_Venue_Year.Venue = '$Venue$' AND ConfID_Venue_Year.Year = '$Year$'
No of papers published in conferences at venue $Venue$ in year $Year$,SELECT COUNT(*) FROM PaperID_Title JOIN ConfID_PaperID ON ConfID_PaperID.PaperID=PaperID_Title.PaperID JOIN ConfID_Venue_Year ON ConfID_Venue_Year.ConfID = ConfID_PaperID.ConfID WHERE ConfID_Venue_Year.Venue = '$Venue$' AND ConfID_Venue_Year.Year = '$Year$'
List all the conferences on field $Topic$ in year $Year$,"SELECT ConfID_Venue_Year.ConfID,ConfID_Venue_Year.Venue,ConfID_Venue_Year.Year FROM ConfID_Venue_Year JOIN ConfID_FieldID ON ConfID_Venue_Year.ConfID = ConfID_FieldID.ConfID JOIN FieldID_Topic ON ConfID_FieldID.FieldID=FieldID_Topic.FieldID Where FieldID_Topic.Topic Like $Topic$ and ConfID_Venue_Year.Year = '$Year$'"
No of conferences on field $Topic$ in year $Year$,SELECT COUNT(*) FROM ConfID_Venue_Year JOIN ConfID_FieldID ON ConfID_Venue_Year.ConfID = ConfID_FieldID.ConfID JOIN FieldID_Topic ON ConfID_FieldID.FieldID=FieldID_Topic.FieldID Where FieldID_Topic.Topic Like $Topic$ and ConfID_Venue_Year.Year = '$Year$'
List all the conferences on field $Topic$ at venue $Venue$,"SELECT ConfID_Venue_Year.ConfID,ConfID_Venue_Year.Venue,ConfID_Venue_Year.Year FROM ConfID_Venue_Year JOIN ConfID_FieldID ON ConfID_Venue_Year.ConfID = ConfID_FieldID.ConfID JOIN FieldID_Topic ON ConfID_FieldID.FieldID=FieldID_Topic.FieldID Where FieldID_Topic.Topic Like $Topic$ and ConfID_Venue_Year.Venue='$Venue$'"
No of conferences on field $Topic$ at venue $Venue$,SELECT COUNT(*) FROM ConfID_Venue_Year JOIN ConfID_FieldID ON ConfID_Venue_Year.ConfID = ConfID_FieldID.ConfID JOIN FieldID_Topic ON ConfID_FieldID.FieldID=FieldID_Topic.FieldID Where FieldID_Topic.Topic Like $Topic$ and ConfID_Venue_Year.Venue='$Venue$'
Who wrote the paper with the title $Title$?,"SELECT AuthID_Name.AuthID, AuthID_Name.Name, PaperID_Title.PaperID, PaperID_Title.Title From AuthID_Name JOIN PaperID_AuthID ON PaperID_AuthID.AuthID=AuthID_Name.AuthID JOIN PaperID_Title on PaperID_AuthID.PaperID=PaperID_Title.PaperID WHERE PaperID_Title.Title=$Title$"
How many authors wrote the paper with the title $Title$,SELECT COUNT(*) From AuthID_Name JOIN PaperID_AuthID ON PaperID_AuthID.AuthID=AuthID_Name.AuthID JOIN PaperID_Title on PaperID_AuthID.PaperID=PaperID_Title.PaperID WHERE PaperID_Title.Title=$Title$
List the fields of paper with the title $Topic$,"SELECT FieldID_Topic.FieldID, FieldID_Topic.Topic, PaperID_Title.PaperID, PaperID_Title.Title From FieldID_Topic JOIN PaperID_FieldID ON FieldID_Topic.FieldID=PaperID_FieldID.FieldID JOIN PaperID_Title on PaperID_FieldID.PaperID=PaperID_Title.PaperID WHERE PaperID_Title.Title=$Topic$"""
How many fields of the paper with the title $Topic$,SELECT COUNT(*) From FieldID_Topic JOIN PaperID_FieldID ON FieldID_Topic.FieldID=PaperID_FieldID.FieldID JOIN PaperID_Title on PaperID_FieldID.PaperID=PaperID_Title.PaperID WHERE PaperID_Title.Title=$Topic$â€
How many papers were published on and after an year $Year$,SELECT COUNT(*) FROM PaperID_Title JOIN ConfID_PaperID ON ConfID_PaperID.PaperID=PaperID_Title.PaperID JOIN ConfID_Venue_Year ON ConfID_Venue_Year.ConfID=ConfID_PaperID.ConfID WHERE ConfID_Venue_Year.Year = '$Year$'
List the papers published on and after an year $Year$,"SELECT PaperID_Title.Title, ConfID_Venue_Year.Year FROM PaperID_Title JOIN ConfID_PaperID ON ConfID_PaperID.PaperID=PaperID_Title.PaperID JOIN ConfID_Venue_Year ON ConfID_Venue_Year.ConfID=ConfID_PaperID.ConfID WHERE ConfID_Venue_Year.Year >= '$Year$'"
List the papers published in year $Year$,"SELECT PaperID_Title.Title, ConfID_Venue_Year.Year FROM PaperID_Title JOIN ConfID_PaperID ON ConfID_PaperID.PaperID=PaperID_Title.PaperID JOIN ConfID_Venue_Year ON ConfID_Venue_Year.ConfID=ConfID_PaperID.ConfID WHERE ConfID_Venue_Year.Year = '$Year$'"
How many papers were published in the year $Year$,SELECT COUNT(*) FROM PaperID_Title JOIN ConfID_PaperID ON ConfID_PaperID.PaperID=PaperID_Title.PaperID JOIN ConfID_Venue_Year ON ConfID_Venue_Year.ConfID=ConfID_PaperID.ConfID WHERE ConfID_Venue_Year.Year = '$Year$'
Give ConfID of the paper with paper ID equals $PaperID$,SELECT ConfID_Venue_Year.ConfID FROM ConfID_Venue_Year JOIN ConfID_PaperID ON ConfID_PaperID.ConfID=ConfID_Venue_Year.ConfID JOIN PaperID_Title ON ConfID_PaperID.PaperID=PaperID_Title.PaperID WHERE PaperID_Title.PaperID = '$PaperID$'
When was the paper with paper ID equals $PaperID$ published?,SELECT ConfID_Venue_Year.Year FROM ConfID_Venue_Year JOIN ConfID_PaperID ON ConfID_PaperID.ConfID=ConfID_Venue_Year.ConfID JOIN PaperID_Title ON ConfID_PaperID.PaperID=PaperID_Title.PaperID WHERE PaperID_Title.PaperID = '$PaperID$'
Where was the paper with paper ID equals $PaperID$ published?,SELECT ConfID_Venue_Year.Venue FROM ConfID_Venue_Year JOIN ConfID_PaperID ON ConfID_PaperID.ConfID=ConfID_Venue_Year.ConfID JOIN PaperID_Title ON ConfID_PaperID.PaperID=PaperID_Title.PaperID WHERE PaperID_Title.PaperID = '$PaperID$'
Where and when was the paper with paper ID equals $PaperID$ published?,"SELECT ConfID_Venue_Year.Venue, ConfID_Venue_Year.Year FROM ConfID_Venue_Year JOIN ConfID_PaperID ON ConfID_PaperID.ConfID=ConfID_Venue_Year.ConfID JOIN PaperID_Title ON ConfID_PaperID.PaperID=PaperID_Title.PaperID WHERE PaperID_Title.PaperID = '$PaperID$'"
When was the paper $Title$ published?,SELECT ConfID_Venue_Year.Year FROM ConfID_Venue_Year JOIN ConfID_PaperID ON ConfID_PaperID.ConfID=ConfID_Venue_Year.ConfID JOIN PaperID_Title ON ConfID_PaperID.PaperID=PaperID_Title.PaperID WHERE PaperID_Title.Title=$Title$
Where was the paper $Title$ published,SELECT ConfID_Venue_Year.Venue FROM ConfID_Venue_Year JOIN ConfID_PaperID ON ConfID_PaperID.ConfID=ConfID_Venue_Year.ConfID JOIN PaperID_Title ON ConfID_PaperID.PaperID=PaperID_Title.PaperID WHERE PaperID_Title.Title=$Title$
Where and when was the paper $Title$ published,"SELECT ConfID_Venue_Year.Venue, ConfID_Venue_Year.Year FROM ConfID_Venue_Year JOIN ConfID_PaperID ON ConfID_PaperID.ConfID=ConfID_Venue_Year.ConfID JOIN PaperID_Title ON ConfID_PaperID.PaperID=PaperID_Title.PaperID WHERE PaperID_Title.Title=$Topic$"
Give ConfID of the paper $Title$,SELECT ConfID_Venue_Year.ConfID FROM ConfID_Venue_Year JOIN ConfID_PaperID ON ConfID_PaperID.ConfID=ConfID_Venue_Year.ConfID JOIN PaperID_Title ON ConfID_PaperID.PaperID=PaperID_Title.PaperID WHERE PaperID_Title.Title=$Topic$
List the papers published in the year $Year$ at $Venue$,"SELECT PaperID_Title.PaperID, PaperID_Title.Title FROM PaperID_Title JOIN ConfID_PaperID ON ConfID_PaperID.PaperID=PaperID_Title.PaperID JOIN ConfID_Venue_Year ON ConfID_Venue_Year.ConfID=ConfID_PaperID.ConfID WHERE ConfID_Venue_Year.Year = '$Year$' AND ConfID_Venue_Year.Venue = '$Venue$'"
How many papers were published in the year $Year$ at $Venue$,SELECT COUNT(*) FROM PaperID_Title JOIN ConfID_PaperID ON ConfID_PaperID.PaperID=PaperID_Title.PaperID JOIN ConfID_Venue_Year ON ConfID_Venue_Year.ConfID=ConfID_PaperID.ConfID WHERE ConfID_Venue_Year.Year = '$Year$' AND ConfID_Venue_Year.Venue = '$Venue$'
List the papers published on and after year $Year$ at $Venue$,"SELECT PaperID_Title.PaperID, PaperID_Title.Title, ConfID_Venue_Year.Year FROM PaperID_Title JOIN ConfID_PaperID ON ConfID_PaperID.PaperID=PaperID_Title.PaperID JOIN ConfID_Venue_Year ON ConfID_Venue_Year.ConfID=ConfID_PaperID.ConfID WHERE ConfID_Venue_Year.Year >= '$Year$' AND ConfID_Venue_Year.Venue = '$Venue$'"
List the papers published after year $Year$ at $Venue$,"SELECT PaperID_Title.PaperID, PaperID_Title.Title, ConfID_Venue_Year.Year FROM PaperID_Title JOIN ConfID_PaperID ON ConfID_PaperID.PaperID=PaperID_Title.PaperID JOIN ConfID_Venue_Year ON ConfID_Venue_Year.ConfID=ConfID_PaperID.ConfID WHERE ConfID_Venue_Year.Year > '$Year$' AND ConfID_Venue_Year.Venue = '$Venue$'"
How many papers were published on and after an year $Year$ at $Venue$,SELECT COUNT(*) FROM PaperID_Title JOIN ConfID_PaperID ON ConfID_PaperID.PaperID=PaperID_Title.PaperID JOIN ConfID_Venue_Year ON ConfID_Venue_Year.ConfID=ConfID_PaperID.ConfID WHERE ConfID_Venue_Year.Year >= '$Year$' AND ConfID_Venue_Year.Venue = '$Venue$'
How many papers were published after year $Year$ at $Venue$,SELECT COUNT(*) FROM PaperID_Title JOIN ConfID_PaperID ON ConfID_PaperID.PaperID=PaperID_Title.PaperID JOIN ConfID_Venue_Year ON ConfID_Venue_Year.ConfID=ConfID_PaperID.ConfID WHERE ConfID_Venue_Year.Year > '$Year$' AND ConfID_Venue_Year.Venue = '$Venue$'
How many papers were published after year $Year$,SELECT COUNT(*) FROM PaperID_Title JOIN ConfID_PaperID ON ConfID_PaperID.PaperID=PaperID_Title.PaperID JOIN ConfID_Venue_Year ON ConfID_Venue_Year.ConfID=ConfID_PaperID.ConfID WHERE ConfID_Venue_Year.Year > '$Year$'
How many papers were published on and before an year $Year$ at $Venue$,SELECT COUNT(*) FROM PaperID_Title JOIN ConfID_PaperID ON ConfID_PaperID.PaperID=PaperID_Title.PaperID JOIN ConfID_Venue_Year ON ConfID_Venue_Year.ConfID=ConfID_PaperID.ConfID WHERE ConfID_Venue_Year.Year <= '$Year$' AND ConfID_Venue_Year.Venue = '$Venue$'
How many papers were published on and before year $Year$,SELECT COUNT(*) FROM PaperID_Title JOIN ConfID_PaperID ON ConfID_PaperID.PaperID=PaperID_Title.PaperID JOIN ConfID_Venue_Year ON ConfID_Venue_Year.ConfID=ConfID_PaperID.ConfID WHERE ConfID_Venue_Year.Year <= '$Year$'
How many papers were published before year $Year$ at $Venue$,SELECT COUNT(*) FROM PaperID_Title JOIN ConfID_PaperID ON ConfID_PaperID.PaperID=PaperID_Title.PaperID JOIN ConfID_Venue_Year ON ConfID_Venue_Year.ConfID=ConfID_PaperID.ConfID WHERE ConfID_Venue_Year.Year < '$Year$' AND ConfID_Venue_Year.Venue = '$Venue$'
How many papers were published before year $Year$,SELECT COUNT(*) FROM PaperID_Title JOIN ConfID_PaperID ON ConfID_PaperID.PaperID=PaperID_Title.PaperID JOIN ConfID_Venue_Year ON ConfID_Venue_Year.ConfID=ConfID_PaperID.ConfID WHERE ConfID_Venue_Year.Year < '$Year$'
Give all the papers IDs,SELECT PaperID FROM PaperID_AuthID
Give all the authors IDs,SELECT DISTINCT AuthID FROM PaperID_AuthID
Give all the papers which are written by author of authorID $AuthID$.,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = '$AuthID$'
Display all the papers written by $AuthID$?,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = '$AuthID$'
Count the papers written by Author ID $AuthID$,SELECT COUNT(PaperID) FROM PaperID_AuthID WHERE AuthID = '$AuthID$'
List all the authors who contributed to paper $PaperID$,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= '$PaperID$' 
Count the number authors who contributed to paper ID $PaperID$,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= '$PaperID$' 
Display all the authors for $PaperID$,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= '$PaperID$' 
Give the number of Authors of Paper ID $PaperID$,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= '$PaperID$' 
Display all the papers with FieldID $FieldID$,SELECT PaperID FROM PaperID_FieldID WHERE FieldID = '$FieldID$' 
List the papers associated with FieldID $FieldID$ ?,SELECT PaperID FROM PaperID_FieldID WHERE FieldID = '$FieldID$' 
Give the papers associated with FieldID $FeildID$,SELECT COUNT(PaperID) FROM PaperID_FieldID WHERE FieldID = '$FieldID$' 
Display all the Field IDs,"SELECT DISTINCT FieldID FROM PaperID_FieldID """
Give all the Field IDs associated with paperID $PaperID$.,SELECT FieldID FROM PaperID_FieldID WHERE PaperID = '$PaperID$'
Display the Fields associated with paperID $PaperID$?,SELECT FieldID FROM PaperID_FieldID WHERE PaperID = '$PaperID$'
How many Fields are associated with paperID $PaperID$,SELECT COUNT(FieldID) FROM PaperID_FieldID WHERE PaperID = '$PaperID$'
Show summaries of all the papers,SELECT Summary from PaperID_Summary 
Display the summary of paper with paperID $PaperID$ ,SELECT Summary from PaperID_Summary WHERE PaperID = '$PaperID$' 
What is the summary of paper ID $PaperID$,SELECT Summary from PaperID_Summary WHERE PaperID = '$PaperID$' 
Show titles of all the papers,SELECT Title FROM PaperID_Title 
Show titles of all the papers along with paperID,"SELECT PaperID,Title FROM PaperID_Title "
List the title of the paper with PaperID $PaperID$?,SELECT Title FROM PaperID_Title WHERE PaperID = '$PaperID$'
Give the Paper ID of the paper with title $Title$?,SELECT PaperID FROM PaperID_Title WHERE Title = '$Title $'
Display all the Paper IDs of the paper with the title starting with $Title$^?,SELECT PaperID FROM PaperID_Title WHERE Title LIKE '$Title$^%'
List the affliates which are located in $Place$,SELECT Affiliate FROM AffiliationID_Place_Affiliation WHERE Place LIKE '%$Place$%'
Count all the affliates located at $Place$  ,SELECT Count(Affiliate) FROM AffiliationID_Place_Affiliation WHERE Place LIKE '%$Place$%
Show all the affliates that contain $Affiliate$-,"SELECT Place,Affiliate,AffiliationID FROM AffiliationID_Place_Affiliation WHERE Affiliate LIKE '%$Affiliate$-%'"
Number of affliates in that contain $Affliate$,SELECT Count(Affiliate) FROM AffiliationID_Place_Affiliation WHERE Affiliate LIKE '%$Affiliate$-%'
Name and Place of affiliate with ID $AffiliationID$,"SELECT Affiliate,Place FROM AffiliationID_Place_Affiliation WHERE AffiliationID == '$AffiliationID$'"
Give the location of the affiliate $Affiliate$,SELECT Place From AffiliationID_Place_Affiliation WHERE Affiliate LIKE '$Affiliate$
Show all authids with $AffiliationID$,SELECT AuthID FROM AuthID_AffiliationID WHERE AffiliationID == '$AffiliationID$'
Number of authids with $AffliationID$,SELECT Count(AuthID) FROM AuthID_AffiliationID WHERE AffiliationID == '$AffiliationID$'
Show the number of authors affiliated with each affiliate which have more than $X$ authors.,"SELECT Count(*),AffiliationID FROM AuthID_AffiliationID GROUP BY AffiliationID HAVING Count(*) > $X$ ORDER BY Count(*) DESC"
Give the number of authors affiliated with each affiliate.,"SELECT Count(*),AffiliationID FROM AuthID_AffiliationID GROUP BY AffiliationID ORDER BY Count(*)"
Show the affiliation ID of $AuthID$.,"SELECT AuthID,AffiliationID FROM AuthID_AffiliationID WHERE AuthID == '$AuthID$'"
List the author IDs in the field with the ID $FieldID$,SELECT AuthID FROM AuthID_FieldID WHERE FieldID == '$FieldID$'
How many authids in field with $FieldID$,SELECT Count(AuthID) FROM AuthID_FieldID WHERE FieldID == '$FieldID$'
List fields with the number of authors who work in it in increasing order.,"SELECT FieldID, Count(AuthID) FROM AuthID_FieldID GROUP BY FieldID ORDER BY Count(AuthID) ASC"
Display fields having greater than $Z$ authors in ascending order.,"SELECT FieldID, Count(AuthID) FROM AuthID_FieldID GROUP BY FieldID HAVING Count(AuthID) > $Z$ ORDER BY Count(AuthID) ASC "
Display authorids which work in more than $W$ fields in ascending order.,"SELECT Count(FieldID), AuthID FROM AuthID_FieldID GROUP BY AuthID HAVING Count(FieldID)>$W$ ORDER BY Count(FieldID) ASC"
Name the Author with ID $AuthID$ ?,SELECT Name FROM AuthID_Name WHERE AuthID='$AuthID$'
Who is the author with $AuthID$ ?,SELECT Name FROM AuthID_Name WHERE AuthID='$AuthID$'
Display the ID of the Author whose name is $Name$ ?,SELECT AuthID FROM AuthID_Name WHERE Name='$Name$'
Display the Authors whose name begin with $Name$^ ?,SELECT AuthID FROM AuthID_Name WHERE Name='$Name$^'
List the IDs of the Authors whose name begin with $Name$^ ?,SELECT AuthID FROM AuthID_Name WHERE Name LIKE '$Name$^%'
Give the number of authors whose name starts with $Name$^,SELECT COUNT(*) FROM AuthID_Name WHERE Name LIKE '$Name$^%'
Give the number of authors whose name ends with $Name$&,SELECT COUNT(*) FROM AuthID_Name WHERE Name LIKE '%$Name$&%'
Give the number of papers published in conference with $ConfID$,SELECT COUNT(*) FROM ConfID_PaperID WHERE ConfID='$ConfID$' 
Display all the Conference ID with more than $X$ Papers,"SELECT COUNT(*),ConfID FROM ConfID_PaperID GROUP BY ConfID HAVING COUNT(*)>$X$;"
List the Conference ID of the conference in which paper of the id $PaperID$ was published?,SELECT ConfID FROM ConfID_PaperID WHERE PaperID='$PaperID$'
Display the paper ID of the all the paper which in the conference with ID $ConfID$,SELECT PaperID FROM ConfID_PaperID WHERE ConfID='$ConfID'
Count the number of papers have been published with the ID that starts with $PaperID$^?,SELECT COUNT(*) FROM ConfID_PaperID WHERE PaperID LIKE '$PaperID$^%' 
What is the number of conference which were conducted in the field with ID $FieldID$?,SELECT COUNT(*) FROM ConfID_FieldID WHERE FieldID='$FieldID$' 
Which conferences were conducted in the field with ID $FieldID$?,SELECT ConfID FROM ConfID_FieldID WHERE FieldID='$FieldID$' 
Which Field ID have more than $Y$ conferences?,"SELECT COUNT(*),FieldID FROM ConfID_FieldID GROUP BY FieldID HAVING COUNT(*)>$Y$;"
Show the Field ID in which the conference with ID $ConfID$ is conducted.,SELECT FieldID FROM ConfID_FieldID WHERE ConfID='$ConfID$' 
What is the number of conferences which have ID that starts with $ConfID$^?,SELECT COUNT(*) FROM ConfID_FieldID WHERE ConfID LIKE '$ConfID$^%' 
In which venues atleast one paper was published? ,SELECT DISTINCT Venue FROM ConfID_Venue_Year
What is the number of conferences which were held at $Venue$?,SELECT COUNT(*) FROM ConfID_Venue_Year WHERE Venue=$Venue$
What is the number of conferences which were held in the year $Year$?,SELECT COUNT(*) FROM ConfID_Venue_Year WHERE Year=$Year$
Give the venue for the conference with the ID $ConfID$?,SELECT Venue FROM ConfID_Venue_Year WHERE ConfID=$ConfID$
List the number of conferences which was held before $Year$?,SELECT COUNT(*) ConfID_Venue_Year WHERE Year<$Year$
How many conferences held after $Year$?,SELECT COUNT(*) ConfID_Venue_Year WHERE Year>$Year$
Count the number of conferences held after $Year$?,SELECT ConfID FROM ConfID_Venue_Year WHERE Venue=$Venue$ AND Year=$Year$
Display the years in the order of the years with highest to lowest conferences.,"SELECT Year,COUNT(ConfID) FROM ConfID_Venue_Year GROUP BY Year ORDER BY COUNT(ConfID) DESC;"
Show all the field IDs.,SELECT FieldID FROM FieldID_Topic
Show all the topics.,SELECT Topic FROM FieldID_Topic
Display the fieldID for the topic $Topic$.,SELECT FieldID FROM FieldID_Topic WHERE Topic=$Topic$
What is the topic corresponding to the Field ID $FieldID$?,SELECT Topic FROM FieldID_Topic WHERE FieldID=$FieldID$
Find the number of the topics.,SELECT DISTINCT COUNT(Topic) FROM FieldID_Topic
What is the total number of papers published?,SELECT DISTINCT COUNT(PaperID) FROM KeywordID_PaperID
Count the number of unique keyword IDs?,SELECT COUNT(DISTINCT KeywordID) FROM KeywordID_PaperID
Name the papers with keyword ID as $KeywordID$.,SELECT PaperID FROM KeywordID_PaperID WHERE KeywordID=$KeywordID$
Show the keyword IDs with count from highest to lowest.,"SELECT KeywordID,COUNT(KeywordID) FROM KeywordID_PaperID GROUP BY KeywordID ORDER BY COUNT(KeywordID) DESC;"
Give the Affiliation of all the authors ?,"SELECT AffiliationID_Place_Affiliation.Affiliate,AuthID_Name.Name FROM ((AuthID_AffiliationID JOIN AuthID_Name ON AuthID_AffiliationID.AuthID = AuthID_Name.AuthID) JOIN AffiliationID_Place_Affiliation ON AffiliationID_Place_Affiliation.AffiliationID = AuthID_AffiliationID.AffiliationID);"
Display all the affiliation of the author $Name$.,"SELECT AffiliationID_Place_Affiliation.Affiliate,AuthID_Name.Name FROM ((AuthID_AffiliationID JOIN AuthID_Name ON AuthID_AffiliationID.AuthID = AuthID_Name.AuthID) JOIN AffiliationID_Place_Affiliation ON AffiliationID_Place_Affiliation.AffiliationID = AuthID_AffiliationID.AffiliationID) WHERE AuthID_Name.Name=""$Name$"";"
Display all the authors of the affiliate $Affiliate$.,"SELECT AffiliationID_Place_Affiliation.Affiliate,AuthID_Name.Name FROM ((AuthID_AffiliationID JfOIN AuthID_Name ON AuthID_AffiliationID.AuthID = AuthID_Name.AuthID) JOIN AffiliationID_Place_Affiliation ON AffiliationID_Place_Affiliation.AffiliationID = AuthID_AffiliationID.AffiliationID) WHERE AffiliationID_Place_Affiliation.Affiliate=""$Affiliate$"";"
Give all the authors of the affiliate $Affiliate$.,"SELECT COUNT(DISTINCT AuthID_Name.Name) FROM ((AuthID_AffiliationID JOIN AuthID_Name ON AuthID_AffiliationID.AuthID = AuthID_Name.AuthID) JOIN AffiliationID_Place_Affiliation ON AffiliationID_Place_Affiliation.AffiliationID = AuthID_AffiliationID.AffiliationID) WHERE AffiliationID_Place_Affiliation.Affiliate=""$Affiliate$"" GROUP BY AffiliationID_Place_Affiliation.Affiliate;"
Give the count of affiliates has the author $Name$ been related with?,"SELECT COUNT(DISTINCT AffiliationID_Place_Affiliation.Affiliate) FROM ((AuthID_AffiliationID JOIN AuthID_Name ON AuthID_AffiliationID.AuthID = AuthID_Name.AuthID) JOIN AffiliationID_Place_Affiliation ON AffiliationID_Place_Affiliation.AffiliationID = AuthID_AffiliationID.AffiliationID) WHERE AuthID_Name.Name=""$Name$"" GROUP BY AuthID_Name.Name;"
