Question,SQL
Show all the authors from $Place$.,"SELECT AuthID_Name.Name FROM ((AuthID_AffiliationID JOIN AuthID_Name ON AuthID_AffiliationID.AuthID = AuthID_Name.AuthID) JOIN AffiliationID_Place_Affiliation ON AffiliationID_Place_Affiliation.AffiliationID = AuthID_AffiliationID.AffiliationID) WHERE AffiliationID_Place_Affiliation.Place=""$Place$"";"
Give all the authors from $Place$.,"SELECT AffiliationID_Place_Affiliation.Place FROM ((AuthID_AffiliationID JOIN AuthID_Name ON AuthID_AffiliationID.AuthID = AuthID_Name.AuthID) JOIN AffiliationID_Place_Affiliation ON AffiliationID_Place_Affiliation.AffiliationID = AuthID_AffiliationID.AffiliationID) WHERE AuthID_Name.Name=""$Name$"";"
Count the number of authors are from $Place$?,"SELECT COUNT(DISTINCT AuthID_Name.Name) FROM ((AuthID_AffiliationID JOIN AuthID_Name ON AuthID_AffiliationID.AuthID = AuthID_Name.AuthID) JOIN AffiliationID_Place_Affiliation ON AffiliationID_Place_Affiliation.AffiliationID = AuthID_AffiliationID.AffiliationID) WHERE AffiliationID_Place_Affiliation.Place=""$Affiliate$"";"
Display all the affiliates having more than $X$ authors.,"SELECT AffiliationID_Place_Affiliation.Affiliate,COUNT(DISTINCT AuthID_Name.Name) as `Number of Authors` FROM ((AuthID_AffiliationID JOIN AuthID_Name ON AuthID_AffiliationID.AuthID = AuthID_Name.AuthID) JOIN AffiliationID_Place_Affiliation ON AffiliationID_Place_Affiliation.AffiliationID = AuthID_AffiliationID.AffiliationID) GROUP BY AffiliationID_Place_Affiliation.Affiliate HAVING `Number of Authors`>$X$;"
Show all places having more than $X$ authors.,"SELECT AffiliationID_Place_Affiliation.Place,COUNT(DISTINCT AuthID_Name.Name) as `Number of Authors` FROM ((AuthID_AffiliationID JOIN AuthID_Name ON AuthID_AffiliationID.AuthID = AuthID_Name.AuthID) JOIN AffiliationID_Place_Affiliation ON AffiliationID_Place_Affiliation.AffiliationID = AuthID_AffiliationID.AffiliationID) GROUP BY AffiliationID_Place_Affiliation.Place HAVING `Number of Authors`>$X$;"
Count the number of different field does the affiliate $Affiliate$ work on?,"SELECT AffiliationID_Place_Affiliation.Affiliate,COUNT(DISTINCT FieldID_Topic.Topic) FROM (((AuthID_AffiliationID JOIN AuthID_FieldID ON AuthID_AffiliationID.AuthID = AuthID_FieldID.AuthID) JOIN FieldID_Topic ON AuthID_FieldID.FieldID = FieldID_Topic.FieldID) JOIN AffiliationID_Place_Affiliation ON AffiliationID_Place_Affiliation.AffiliationID=AuthID_AffiliationID.AffiliationID) WHERE AffiliationID_Place_Affiliation.Affiliate=""$Affiliate$"" GROUP BY AffiliationID_Place_Affiliation.Affiliate;"
Name the fields that the affiliate $Affiliate$ works on.,"SELECT DISTINCT AffiliationID_Place_Affiliation.Affiliate, FieldID_Topic.Topic FROM (((AuthID_AffiliationID JOIN AuthID_FieldID ON AuthID_AffiliationID.AuthID = AuthID_FieldID.AuthID) JOIN FieldID_Topic ON AuthID_FieldID.FieldID = FieldID_Topic.FieldID) JOIN AffiliationID_Place_Affiliation ON AffiliationID_Place_Affiliation.AffiliationID=AuthID_AffiliationID.AffiliationID) WHERE AffiliationID_Place_Affiliation.Affiliate=""$Affiliate$"";"
What was the number of affiliates that work on the field $Topic$?,"SELECT COUNT(DISTINCT AffiliationID_Place_Affiliation.Affiliate),FieldID_Topic.Topic FROM (((AuthID_AffiliationID JOIN AuthID_FieldID ON AuthID_AffiliationID.AuthID = AuthID_FieldID.AuthID) JOIN FieldID_Topic ON AuthID_FieldID.FieldID = FieldID_Topic.FieldID) JOIN AffiliationID_Place_Affiliation ON AffiliationID_Place_Affiliation.AffiliationID=AuthID_AffiliationID.AffiliationID) WHERE FieldID_Topic.Topic=""$Topic$"" GROUP BY FieldID_Topic.Topic;"
Which affiliates work on the field $Topic$?,"SELECT DISTINCT AffiliationID_Place_Affiliation.Affiliate,FieldID_Topic.Topic FROM (((AuthID_AffiliationID JOIN AuthID_FieldID ON AuthID_AffiliationID.AuthID = AuthID_FieldID.AuthID) JOIN FieldID_Topic ON AuthID_FieldID.FieldID = FieldID_Topic.FieldID) JOIN AffiliationID_Place_Affiliation ON AffiliationID_Place_Affiliation.AffiliationID=AuthID_AffiliationID.AffiliationID) WHERE FieldID_Topic.Topic=""$Topic$"";"
What are the fields does the affiliates in the place $Place$ work on?,"SELECT DISTINCT FieldID_Topic.Topic FROM (((AuthID_AffiliationID JOIN AuthID_FieldID ON AuthID_AffiliationID.AuthID = AuthID_FieldID.AuthID) JOIN FieldID_Topic ON AuthID_FieldID.FieldID = FieldID_Topic.FieldID) JOIN AffiliationID_Place_Affiliation ON AffiliationID_Place_Affiliation.AffiliationID=AuthID_AffiliationID.AffiliationID) WHERE AffiliationID_Place_Affiliation.Place=""$Place$"";"
Display all the affiliates with the number of authors working on the field $Topic$,"SELECT COUNT(DISTINCT AuthID_AffiliationID.AuthID),AffiliationID_Place_Affiliation.Affiliate FROM (((AuthID_AffiliationID JOIN AuthID_FieldID ON AuthID_AffiliationID.AuthID = AuthID_FieldID.AuthID) JOIN FieldID_Topic ON AuthID_FieldID.FieldID = FieldID_Topic.FieldID) JOIN AffiliationID_Place_Affiliation ON AffiliationID_Place_Affiliation.AffiliationID=AuthID_AffiliationID.AffiliationID) WHERE FieldID_Topic.Topic=""$Topic$"" GROUP BY AffiliationID_Place_Affiliation.Affiliate;"
Show the author from affiliate $Affiliate$ who work on the field $Topic$.,"SELECT DISTINCT AuthID_Name.Name FROM ((((AuthID_AffiliationID JOIN AuthID_FieldID ON AuthID_AffiliationID.AuthID = AuthID_FieldID.AuthID) JOIN FieldID_Topic ON AuthID_FieldID.FieldID = FieldID_Topic.FieldID) JOIN AffiliationID_Place_Affiliation ON AffiliationID_Place_Affiliation.AffiliationID=AuthID_AffiliationID.AffiliationID) JOIN AuthID_Name ON AuthID_Name.AuthID=AuthID_AffiliationID.AuthID)WHERE FieldID_Topic.Topic=""$Topic$"" AND AffiliationID_Place_Affiliation.Affiliate=""$Affiliate$"";"
Display the authors who on the field $Topic$ and are from affiliate $Affiliate$.,"SELECT DISTINCT AuthID_Name.Name FROM ((((AuthID_AffiliationID JOIN AuthID_FieldID ON AuthID_AffiliationID.AuthID = AuthID_FieldID.AuthID) JOIN FieldID_Topic ON AuthID_FieldID.FieldID = FieldID_Topic.FieldID) JOIN AffiliationID_Place_Affiliation ON AffiliationID_Place_Affiliation.AffiliationID=AuthID_AffiliationID.AffiliationID) JOIN AuthID_Name ON AuthID_Name.AuthID=AuthID_AffiliationID.AuthID)WHERE FieldID_Topic.Topic=""$Topic$"" AND AffiliationID_Place_Affiliation.Affiliate=""$Affiliate$"";"
Give the authors who on the field $Topic$ and are from affiliate in the place $Place$.,"SELECT DISTINCT AuthID_Name.Name FROM ((((AuthID_AffiliationID JOIN AuthID_FieldID ON AuthID_AffiliationID.AuthID = AuthID_FieldID.AuthID) JOIN FieldID_Topic ON AuthID_FieldID.FieldID = FieldID_Topic.FieldID) JOIN AffiliationID_Place_Affiliation ON AffiliationID_Place_Affiliation.AffiliationID=AuthID_AffiliationID.AffiliationID) JOIN AuthID_Name ON AuthID_Name.AuthID=AuthID_AffiliationID.AuthID)WHERE FieldID_Topic.Topic=""$Topic$"" AND AffiliationID_Place_Affiliation.Place=""$Place$"";"
Show the title of the papers along with their summaries.,"SELECT PaperID_Title.Title, PaperID_Summary.Summary FROM PaperID_Title JOIN PaperID_Summary ON PaperID_Title.PaperID=PaperID_Summary.PaperID"
Give the Author IDs along with the title of their research papers.,"SELECT PaperID_AuthID.AuthID, PaperID_Title.Title FROM PaperID_AuthID JOIN PaperID_Title ON PaperID_Title.PaperID=PaperID_AuthID.PaperID"
Display the title of the papers published by the author with the Author ID $AuthID$.,"SELECT PaperID_AuthID.AuthID, PaperID_Title.Title FROM PaperID_AuthID JOIN PaperID_Title ON PaperID_Title.PaperID=PaperID_AuthID.PaperID WHERE PaperID_AuthID.AuthID=$AuthID$"
Give the title of the papers published by $Name$.,SELECT PaperID_Title.Title FROM ((AuthID_Name JOIN PaperID_AuthID ON AuthID_Name.AuthID=PaperID_AuthID.AuthID) JOIN PaperID_Title ON PaperID_Title.PaperID=PaperID_AuthID.PaperID) WHERE AuthID_Name.Name=$Name$
Show the titles along with the summaries of the papers published by $Name$,"SELECT PaperID_Title.Title, PaperID_Summary.Summary FROM (((AuthID_Name JOIN PaperID_AuthID ON AuthID_Name.AuthID=PaperID_AuthID.AuthID) JOIN PaperID_Title ON PaperID_Title.PaperID=PaperID_AuthID.PaperID) JOIN PaperID_Summary ON PaperID_Summary.PaperID=PaperID_Title.PaperID) WHERE AuthID_Name.Name=$Name$"
Count the number of papers that were published by $Name$?,SELECT COUNT(*) FROM ((AuthID_Name JOIN PaperID_AuthID ON AuthID_Name.AuthID=PaperID_AuthID.AuthID) JOIN PaperID_Title ON PaperID_Title.PaperID=PaperID_AuthID.PaperID) WHERE AuthID_Name.Name=$Name$
Name the author who published the paper with paper ID $PaperID$.,SELECT AuthID_Name.Name FROM AuthID_Name JOIN PaperID_AuthID ON AuthID_Name.AuthID=PaperID_AuthID.AuthID WHERE PaperID_AuthID.PaperID=$PaperID$
Display the name of the authors working in the field with field ID $FieldID$.,SELECT DISTINCT AuthID_Name.Name FROM AuthID_FieldID JOIN AuthID_Name ON AuthID_FieldID.AuthID=AuthID_Name.AuthID WHERE AuthID_FieldID.FieldID=$FieldID$
Give the field IDs of the papers published by $Name$.,SELECT AuthID_FieldID.FieldID FROM AuthID_FieldID JOIN AuthID_Name ON AuthID_FieldID.AuthID=AuthID_Name.AuthID WHERE AuthID_Name.Name=$Name$
What are the field topics of the papers published by $Name$ belong to?,SELECT FieldID_Topic.Topic FROM ((FieldID_Topic JOIN AuthID_FieldID ON FieldID_Topic.FieldID=AuthID_FieldID.FieldID) JOIN AuthID_Name ON AuthID_FieldID.AuthID=AuthID_Name.AuthID) WHERE AuthID_Name.Name=$Name$
Show the title of the papers that come under the field topic $Topic$.,SELECT PaperID_Title.Title FROM (((PaperID_Title JOIN PaperID_AuthID ON PaperID_Title.PaperID=PaperID_AuthID.PaperID) JOIN AuthID_FieldID ON PaperID_AuthID.AuthID=AuthID_FieldID.AuthID) JOIN FieldID_Topic ON FieldID_Topic.FieldID=AuthID_FieldID.FieldID) WHERE FieldID_Topic.Topic=$Topic$
Count the number of papers that are published under the topic $Topic$?,SELECT COUNT(*) FROM (((PaperID_Title JOIN PaperID_AuthID ON PaperID_Title.PaperID=PaperID_AuthID.PaperID) JOIN AuthID_FieldID ON PaperID_AuthID.AuthID=AuthID_FieldID.AuthID) JOIN FieldID_Topic ON FieldID_Topic.FieldID=AuthID_FieldID.FieldID) WHERE FieldID_Topic.Topic=$Topic$
Count the number of authors who have published under the topic $Topic$?,SELECT COUNT(*) FROM AuthID_FieldID JOIN AuthID_Name ON AuthID_FieldID.AuthID=AuthID_Name.AuthID WHERE AuthID_FieldID.FieldID=$FieldID$
Display the title of the papers that come under the field with field ID $FieldID$.,SELECT PaperID_Title.Title FROM ((PaperID_Title JOIN PaperID_AuthID ON PaperID_Title.PaperID=PaperID_AuthID.PaperID) JOIN AuthID_FieldID ON PaperID_AuthID.AuthID=AuthID_FieldID.AuthID) WHERE AuthID_FieldID.FieldID=$FieldID$
Give the number of papers published under the field ID $FieldID$?,SELECT COUNT(*) FROM ((PaperID_Title JOIN PaperID_AuthID ON PaperID_Title.PaperID=PaperID_AuthID.PaperID) JOIN AuthID_FieldID ON PaperID_AuthID.AuthID=AuthID_FieldID.AuthID) WHERE AuthID_FieldID.FieldID=$FieldID$
Display the name of the authors of papers with the field ID $FieldID$.,SELECT DISTINCT(AuthID_Name.Name) FROM ((AuthID_Name JOIN PaperID_AuthID ON AuthID_Name.AuthID=PaperID_AuthID.AuthID) JOIN AuthID_FieldID ON PaperID_AuthID.AuthID=AuthID_FieldID.AuthID) WHERE AuthID_FieldID.FieldID=$FieldID$
Show the field topics that the paper with the ID $PaperID$.,SELECT FieldID_Topic.Topic FROM ((PaperID_AuthID JOIN AuthID_FieldID ON PaperID_AuthID.AuthID=AuthID_FieldID.AuthID) JOIN FieldID_Topic ON AuthID_FieldID.FieldID=FieldID_Topic.FieldID) WHERE PaperID=$PaperID$
Give the Paper IDs that fall under the field ID $FieldID$.,SELECT PaperID_AuthID.PaperID FROM PaperID_AuthID JOIN AuthID_FieldID ON PaperID_AuthID.AuthID=AuthID_FieldID.AuthID WHERE AuthID_FieldID.FieldID=$FieldID$
Count the number of the papers are published in the field with field ID $FieldID$?,SELECT COUNT(*) FROM PaperID_AuthID JOIN AuthID_FieldID ON PaperID_AuthID.AuthID=AuthID_FieldID.AuthID WHERE AuthID_FieldID.FieldID=$FieldID$
Who wrote the paper with the title $Title$?,"SELECT AuthID_Name.AuthID, AuthID_Name.Name, PaperID_Title.PaperID, PaperID_Title.Title From AuthID_Name JOIN PaperID_AuthID ON PaperID_AuthID.AuthID=AuthID_Name.AuthID JOIN PaperID_Title on PaperID_AuthID.PaperID=PaperID_Title.PaperID WHERE PaperID_Title.Title=$Title$"
Show the summary of paper with title $Title$,SELECT PaperID_Summary.Summary FROM PaperID_Summary JOIN PaperID_Title ON PaperID_Title.PaperID=PaperID_Summary.PaperID WHERE PaperID_Title.Title LIKE '$Title$'
What are the conferences held based on field $Topic$?,"SELECT ConfID_Venue_Year.ConfID,ConfID_Venue_Year.Venue,ConfID_Venue_Year.Year FROM ConfID_Venue_Year JOIN ConfID_FieldID ON ConfID_Venue_Year.ConfID = ConfID_FieldID.ConfID JOIN FieldID_Topic ON ConfID_FieldID.FieldID=FieldID_Topic.FieldID Where FieldID_Topic.Topic Like $Topic$"
How many conferences were held based on field $Topic$?,SELECT COUNT (*) FROM ConfID_Venue_Year JOIN ConfID_FieldID ON ConfID_Venue_Year.ConfID = ConfID_FieldID.ConfID JOIN FieldID_Topic ON ConfID_FieldID.FieldID=FieldID_Topic.FieldID Where FieldID_Topic.Topic Like $Topic$ 
Where was the paper with title $Title$ was Published?,SELECT ConfID_Venue_Year.ConfID FROM ConfID_Venue_Year JOIN ConfID_PaperID ON ConfID_Venue_Year.ConfID = ConfID_PaperID.ConfID JOIN PaperID_Title ON ConfID_PaperID.PaperID=PaperID_Title.PaperID Where PaperID_Title.Title LIKE '$Title$' 
In which years were the conferences on field $Topic$ held?,SELECT ConfID_Venue_Year.Year FROM ConfID_Venue_Year JOIN ConfID_FieldID ON ConfID_Venue_Year.ConfID = ConfID_FieldID.ConfID JOIN FieldID_Topic ON ConfID_FieldID.FieldID=FieldID_Topic.FieldID Where FieldID_Topic.Topic Like $Topic$
In how many years were the conferences on field $Topic$ held?,SELECT COUNT (*) FROM ConfID_Venue_Year JOIN ConfID_FieldID ON ConfID_Venue_Year.ConfID = ConfID_FieldID.ConfID JOIN FieldID_Topic ON ConfID_FieldID.FieldID=FieldID_Topic.FieldID Where FieldID_Topic.Topic Like '$Topic'
Display all the papers published in conference with ConfID $ConfID$,SELECT PaperID_Title.PaperID FROM PaperID_Title JOIN ConfID_PaperID ON ConfID_PaperID.PaperID=PaperID_Title.PaperID JOIN ConfID_Venue_Year ON ConfID_Venue_Year.ConfID = ConfID_PaperID.ConfID WHERE ConfID_Venue_Year.ConfID LIKE '$ConfID$' 
How many papers were published in conference with ConfID $ConfID$,SELECT COUNT(*) FROM PaperID_Title JOIN ConfID_PaperID ON ConfID_PaperID.PaperID=PaperID_Title.PaperID JOIN ConfID_Venue_Year ON ConfID_Venue_Year.ConfID = ConfID_PaperID.ConfID WHERE ConfID_Venue_Year.ConfID LIKE '%C-14%' 
Which papers were published in conferences at venue $Venue$?,SELECT PaperID_Title.PaperID FROM PaperID_Title JOIN ConfID_PaperID ON ConfID_PaperID.PaperID=PaperID_Title.PaperID JOIN ConfID_Venue_Year ON ConfID_Venue_Year.ConfID = ConfID_PaperID.ConfID WHERE ConfID_Venue_Year.Venue LIKE '$Venue$' 
How many papers were published in conferences at venue $Venue$?,SELECT COUNT(*) FROM PaperID_Title JOIN ConfID_PaperID ON ConfID_PaperID.PaperID=PaperID_Title.PaperID JOIN ConfID_Venue_Year ON ConfID_Venue_Year.ConfID = ConfID_PaperID.ConfID WHERE ConfID_Venue_Year.Venue LIKE '%E$Venue$%'
Display the fields corresponding to conference $ConfID$,SELECT FieldID_Topic.Topic FROM FieldID_Topic JOIN ConfID_FieldID ON ConfID_FieldID.FieldID = FieldID_Topic.FieldID WHERE ConfID = '$ConfID$' 
Which papers were released in year $Year$?,SELECT PaperID_Title.PaperID FROM PaperID_Title JOIN ConfID_PaperID ON ConfID_PaperID.PaperID=PaperID_Title.PaperID JOIN ConfID_Venue_Year ON ConfID_Venue_Year.ConfID = ConfID_PaperID.ConfID WHERE ConfID_Venue_Year.Year = '$Year$' 
How many papers were released in year $Year$?,SELECT COUNT(*) FROM PaperID_Title JOIN ConfID_PaperID ON ConfID_PaperID.PaperID=PaperID_Title.PaperID JOIN ConfID_Venue_Year ON ConfID_Venue_Year.ConfID = ConfID_PaperID.ConfID WHERE ConfID_Venue_Year.Year = '$Year$' 
Which papers were published in conferences at venue $Venue$ in year $Year$?,SELECT PaperID_Title.PaperID FROM PaperID_Title JOIN ConfID_PaperID ON ConfID_PaperID.PaperID=PaperID_Title.PaperID JOIN ConfID_Venue_Year ON ConfID_Venue_Year.ConfID = ConfID_PaperID.ConfID WHERE ConfID_Venue_Year.Venue = '$Venue$' AND ConfID_Venue_Year.Year = '$Year$'
How many papers were published in conferences at venue $Venue$ in year $Year$?,SELECT COUNT(*) FROM PaperID_Title JOIN ConfID_PaperID ON ConfID_PaperID.PaperID=PaperID_Title.PaperID JOIN ConfID_Venue_Year ON ConfID_Venue_Year.ConfID = ConfID_PaperID.ConfID WHERE ConfID_Venue_Year.Venue = '$Venue$' AND ConfID_Venue_Year.Year = '$Year$'
Display all the conferences on field $Topic$ in year $Year$,"SELECT ConfID_Venue_Year.ConfID,ConfID_Venue_Year.Venue,ConfID_Venue_Year.Year FROM ConfID_Venue_Year JOIN ConfID_FieldID ON ConfID_Venue_Year.ConfID = ConfID_FieldID.ConfID JOIN FieldID_Topic ON ConfID_FieldID.FieldID=FieldID_Topic.FieldID Where FieldID_Topic.Topic Like $Topic$ and ConfID_Venue_Year.Year = '$Year$'"
How many conferences were based on field $Topic$ in year $Year$?,SELECT COUNT(*) FROM ConfID_Venue_Year JOIN ConfID_FieldID ON ConfID_Venue_Year.ConfID = ConfID_FieldID.ConfID JOIN FieldID_Topic ON ConfID_FieldID.FieldID=FieldID_Topic.FieldID Where FieldID_Topic.Topic Like $Topic$ and ConfID_Venue_Year.Year = '$Year$'
Show all the conferences on field $Topic$ at venue $Venue$,"SELECT ConfID_Venue_Year.ConfID,ConfID_Venue_Year.Venue,ConfID_Venue_Year.Year FROM ConfID_Venue_Year JOIN ConfID_FieldID ON ConfID_Venue_Year.ConfID = ConfID_FieldID.ConfID JOIN FieldID_Topic ON ConfID_FieldID.FieldID=FieldID_Topic.FieldID Where FieldID_Topic.Topic Like $Topic$ and ConfID_Venue_Year.Venue='$Venue$'"
How many conferences were based on field $Topic$ at venue $Venue$?,SELECT COUNT(*) FROM ConfID_Venue_Year JOIN ConfID_FieldID ON ConfID_Venue_Year.ConfID = ConfID_FieldID.ConfID JOIN FieldID_Topic ON ConfID_FieldID.FieldID=FieldID_Topic.FieldID Where FieldID_Topic.Topic Like $Topic$ and ConfID_Venue_Year.Venue='$Venue$'
Name the author who published the paper with title $Title$.,"SELECT AuthID_Name.AuthID, AuthID_Name.Name, PaperID_Title.PaperID, PaperID_Title.Title From AuthID_Name JOIN PaperID_AuthID ON PaperID_AuthID.AuthID=AuthID_Name.AuthID JOIN PaperID_Title on PaperID_AuthID.PaperID=PaperID_Title.PaperID WHERE PaperID_Title.Title=$Title$"
Count the number of authors published the paper with title $Title$?,SELECT COUNT(*) From AuthID_Name JOIN PaperID_AuthID ON PaperID_AuthID.AuthID=AuthID_Name.AuthID JOIN PaperID_Title on PaperID_AuthID.PaperID=PaperID_Title.PaperID WHERE PaperID_Title.Title=$Title$
What are the fields of paper with title $Topic$?,"SELECT FieldID_Topic.FieldID, FieldID_Topic.Topic, PaperID_Title.PaperID, PaperID_Title.Title From FieldID_Topic JOIN PaperID_FieldID ON FieldID_Topic.FieldID=PaperID_FieldID.FieldID JOIN PaperID_Title on PaperID_FieldID.PaperID=PaperID_Title.PaperID WHERE PaperID_Title.Title=$Topic$"""
What is the number of fields of paper with title $Topic$?,SELECT COUNT(*) From FieldID_Topic JOIN PaperID_FieldID ON FieldID_Topic.FieldID=PaperID_FieldID.FieldID JOIN PaperID_Title on PaperID_FieldID.PaperID=PaperID_Title.PaperID WHERE PaperID_Title.Title=$Topic$â€
What is the number of papers published on and after an year $Year$?,SELECT COUNT(*) FROM PaperID_Title JOIN ConfID_PaperID ON ConfID_PaperID.PaperID=PaperID_Title.PaperID JOIN ConfID_Venue_Year ON ConfID_Venue_Year.ConfID=ConfID_PaperID.ConfID WHERE ConfID_Venue_Year.Year = '$Year$'
Show the papers published on and after an year $Year$,"SELECT PaperID_Title.Title, ConfID_Venue_Year.Year FROM PaperID_Title JOIN ConfID_PaperID ON ConfID_PaperID.PaperID=PaperID_Title.PaperID JOIN ConfID_Venue_Year ON ConfID_Venue_Year.ConfID=ConfID_PaperID.ConfID WHERE ConfID_Venue_Year.Year >= '$Year$'"
Which papers were published in year $Year$?,"SELECT PaperID_Title.Title, ConfID_Venue_Year.Year FROM PaperID_Title JOIN ConfID_PaperID ON ConfID_PaperID.PaperID=PaperID_Title.PaperID JOIN ConfID_Venue_Year ON ConfID_Venue_Year.ConfID=ConfID_PaperID.ConfID WHERE ConfID_Venue_Year.Year = '$Year$'"
Give the number of papers published in the year $Year$,SELECT COUNT(*) FROM PaperID_Title JOIN ConfID_PaperID ON ConfID_PaperID.PaperID=PaperID_Title.PaperID JOIN ConfID_Venue_Year ON ConfID_Venue_Year.ConfID=ConfID_PaperID.ConfID WHERE ConfID_Venue_Year.Year = '$Year$'
Display the ConfID of the paper with paper ID = $PaperID$,SELECT ConfID_Venue_Year.ConfID FROM ConfID_Venue_Year JOIN ConfID_PaperID ON ConfID_PaperID.ConfID=ConfID_Venue_Year.ConfID JOIN PaperID_Title ON ConfID_PaperID.PaperID=PaperID_Title.PaperID WHERE PaperID_Title.PaperID = '$PaperID$'
In which year with paper with paper ID equals $PaperID$ published?,SELECT ConfID_Venue_Year.Year FROM ConfID_Venue_Year JOIN ConfID_PaperID ON ConfID_PaperID.ConfID=ConfID_Venue_Year.ConfID JOIN PaperID_Title ON ConfID_PaperID.PaperID=PaperID_Title.PaperID WHERE PaperID_Title.PaperID = '$PaperID$'
What was the venue of the paper with paper ID equals $PaperID$ published?,SELECT ConfID_Venue_Year.Venue FROM ConfID_Venue_Year JOIN ConfID_PaperID ON ConfID_PaperID.ConfID=ConfID_Venue_Year.ConfID JOIN PaperID_Title ON ConfID_PaperID.PaperID=PaperID_Title.PaperID WHERE PaperID_Title.PaperID = '$PaperID$'
What was the venue and the year of the paper with paper ID equals $PaperID$?,"SELECT ConfID_Venue_Year.Venue, ConfID_Venue_Year.Year FROM ConfID_Venue_Year JOIN ConfID_PaperID ON ConfID_PaperID.ConfID=ConfID_Venue_Year.ConfID JOIN PaperID_Title ON ConfID_PaperID.PaperID=PaperID_Title.PaperID WHERE PaperID_Title.PaperID = '$PaperID$'"
What was the year of publishing the paper $Title$?,SELECT ConfID_Venue_Year.Year FROM ConfID_Venue_Year JOIN ConfID_PaperID ON ConfID_PaperID.ConfID=ConfID_Venue_Year.ConfID JOIN PaperID_Title ON ConfID_PaperID.PaperID=PaperID_Title.PaperID WHERE PaperID_Title.Title=$Title$
What was the name of the place where paper $Title$ published?,SELECT ConfID_Venue_Year.Venue FROM ConfID_Venue_Year JOIN ConfID_PaperID ON ConfID_PaperID.ConfID=ConfID_Venue_Year.ConfID JOIN PaperID_Title ON ConfID_PaperID.PaperID=PaperID_Title.PaperID WHERE PaperID_Title.Title=$Title$
Give the place and year of the paper $Title$,"SELECT ConfID_Venue_Year.Venue, ConfID_Venue_Year.Year FROM ConfID_Venue_Year JOIN ConfID_PaperID ON ConfID_PaperID.ConfID=ConfID_Venue_Year.ConfID JOIN PaperID_Title ON ConfID_PaperID.PaperID=PaperID_Title.PaperID WHERE PaperID_Title.Title=$Topic$"
What is the ConfID of the paper $Title$,SELECT ConfID_Venue_Year.ConfID FROM ConfID_Venue_Year JOIN ConfID_PaperID ON ConfID_PaperID.ConfID=ConfID_Venue_Year.ConfID JOIN PaperID_Title ON ConfID_PaperID.PaperID=PaperID_Title.PaperID WHERE PaperID_Title.Title=$Topic$
Display all the papers published in the year $Year$ at $Venue$,"SELECT PaperID_Title.PaperID, PaperID_Title.Title FROM PaperID_Title JOIN ConfID_PaperID ON ConfID_PaperID.PaperID=PaperID_Title.PaperID JOIN ConfID_Venue_Year ON ConfID_Venue_Year.ConfID=ConfID_PaperID.ConfID WHERE ConfID_Venue_Year.Year = '$Year$' AND ConfID_Venue_Year.Venue = '$Venue$'"
Give the numbers of papers published in the year $Year$ at $Venue$,SELECT COUNT(*) FROM PaperID_Title JOIN ConfID_PaperID ON ConfID_PaperID.PaperID=PaperID_Title.PaperID JOIN ConfID_Venue_Year ON ConfID_Venue_Year.ConfID=ConfID_PaperID.ConfID WHERE ConfID_Venue_Year.Year = '$Year$' AND ConfID_Venue_Year.Venue = '$Venue$'
Display all the papers published on and after year $Year$ at $Venue$,"SELECT PaperID_Title.PaperID, PaperID_Title.Title, ConfID_Venue_Year.Year FROM PaperID_Title JOIN ConfID_PaperID ON ConfID_PaperID.PaperID=PaperID_Title.PaperID JOIN ConfID_Venue_Year ON ConfID_Venue_Year.ConfID=ConfID_PaperID.ConfID WHERE ConfID_Venue_Year.Year >= '$Year$' AND ConfID_Venue_Year.Venue = '$Venue$'"
Display all the papers published after year $Year$ at $Venue$,"SELECT PaperID_Title.PaperID, PaperID_Title.Title, ConfID_Venue_Year.Year FROM PaperID_Title JOIN ConfID_PaperID ON ConfID_PaperID.PaperID=PaperID_Title.PaperID JOIN ConfID_Venue_Year ON ConfID_Venue_Year.ConfID=ConfID_PaperID.ConfID WHERE ConfID_Venue_Year.Year > '$Year$' AND ConfID_Venue_Year.Venue = '$Venue$'"
